,scheme_code,annualized_median_return,top_25_percentile,bottom_25_percentile,bottom_5_percentile,top_5_percentile,scheme_name,annualized_mean_std
5093,149047,6.14,7.27,5.02,3.42,8.88,Axis Floater Fund - Regular Plan - Annual IDCW,1.5645831916302404
5094,149048,6.66,7.75,5.58,4.02,9.31,Axis Floater Fund - Regular Plan - Growth,1.4836404083569918
5095,149049,7.11,8.2,6.04,4.52,9.69,Axis Floater Fund - Direct Plan - Growth,1.4864472673393612
5096,149050,0.17,1.11,-0.77,-2.16,2.43,Axis Floater Fund - Direct Plan - Daily IDCW,1.4017493945016728
5097,149051,0.26,1.96,-1.5,-4.17,4.42,Axis Floater Fund - Direct Plan - Monthly IDCW,2.5726076012656045
5098,149052,5.77,6.96,4.58,2.81,8.6,Axis Floater Fund - Direct Plan - Quarterly IDCW,1.663360170939121
5099,149053,0.39,2.06,-1.32,-3.93,4.4,Axis Floater Fund - Regular Plan - Monthly IDCW,2.5028438993104043
5100,149054,0.22,1.16,-0.73,-2.13,2.46,Axis Floater Fund - Regular Plan - Daily IDCW,1.40377508301746
5101,149055,6.53,7.66,5.39,3.76,9.28,Axis Floater Fund - Direct Plan - Annual IDCW,1.5656184569362452
5102,149056,1.83,19.11,-13.01,-30.24,48.13,Kotak Global Innovation Fund of Fund - Regular Plan-Growth,23.17549495978753
5103,149058,1.85,18.94,-12.58,-30.62,49.01,Kotak Global Innovation Fund of Fund- Regular Plan -IDCW Option,23.175242110530128
5104,149059,2.8,20.39,-11.87,-29.65,51.66,Kotak Global Innovation Fund of Fund- Direct Plan -Growth,23.174058649148833
5105,149060,3.6,21.2,-11.63,-29.47,52.37,Kotak Global Innovation Fund of Fund- Direct Plan - IDCW Payout,23.17411127735548
5106,149062,6.38,7.56,5.13,3.26,9.25,Aditya Birla Sun Life Fixed Term Plan - Series TJ (1838 days) - Direct Plan - Growth Option,1.6891414837952492
5107,149063,6.41,7.59,5.2,3.34,9.26,Aditya Birla Sun Life Fixed Term Plan - Series TJ (1838 days) - Direct Plan - Payout of IDCW Option,1.6891890276656942
5108,149064,6.26,7.47,5.05,3.24,9.15,Aditya Birla Sun Life Fixed Term Plan - Series TJ (1838 days) - Regular Plan - Growth Option,1.6888609294882901
5109,149065,6.27,7.44,5.05,3.17,9.06,Aditya Birla Sun Life Fixed Term Plan - Series TJ (1838 days) - Regular Plan - Payout of IDCW Option,1.6893017226073048
